Name,Race,Gender
Abigail,White,Female
Claire,White,Female
Emily,White,Female
Katelyn,White,Female
Kristen,White,Female
Laurie,White,Female
Megan,White,Female
Janae,Black,Female
Keyana,Black,Female
Lakisha,Black,Female
Latonya,Black,Female
Latoya,Black,Female
Shanice,Black,Female
Tamika,Black,Female
Dustin,White,Male
Hunter,White,Male
Jake,White,Male
Logan,White,Male
Matthew,White,Male
Ryan,White,Male
Scott,White,Male
DaQuan,Black,Male
DaShawn,Black,Male
DeAndre,Black,Male
Jamal,Black,Male
Tyrone,Black,Male
Terrell,Black,Male
Javyon,Black,Male
